Date,Action,Cash,Equity,Price
2025-03-20,HOLD,412.39,1.0,524.0
2025-03-21,HOLD,412.39,1.0,528.31
2025-03-24,HOLD,412.39,1.0,523.1
2025-03-25,HOLD,412.39,1.0,527.185
2025-03-26,HOLD,412.39,1.0,531.0
2025-03-27,HOLD,412.39,1.0,533.25
2025-03-28,HOLD,412.39,1.0,535.35
2025-03-31,HOLD,412.39,1.0,521.4
2025-04-01,HOLD,412.39,1.0,531.88
2025-04-02,HOLD,412.39,1.0,532.13
2025-04-03,HOLD,412.39,1.0,527.62
2025-04-04,HOLD,412.39,1.0,519.0
2025-04-07,SELL 1.0 @ 467.42,879.8,0.0,467.415
2025-04-08,HOLD,879.8,0.0,509.025
2025-04-09,HOLD,879.8,0.0,490.0
2025-04-10,HOLD,879.8,0.0,518.3
2025-04-11,HOLD,879.8,0.0,515.0
2025-04-14,HOLD,879.8,0.0,531.0
2025-04-15,BUY 1.0 @ 532.62,347.18,1.0,532.62
2025-04-16,HOLD,347.18,1.0,529.3
2025-04-17,HOLD,347.18,1.0,518.895
2025-04-21,SELL 1.0 @ 517.53,864.71,0.0,517.53
2025-04-22,HOLD,864.71,0.0,514.23
2025-04-23,HOLD,864.71,0.0,527.5
2025-04-24,BUY 1.0 @ 526.81,337.9,1.0,526.81
2025-04-25,HOLD,337.9,1.0,531.75
2025-04-28,HOLD,337.9,1.0,533.63
2025-04-29,HOLD,337.9,1.0,531.0
2025-04-30,HOLD,337.9,1.0,531.51
2025-05-01,HOLD,337.9,1.0,531.0
2025-05-02,HOLD,337.9,1.0,536.75
2025-05-05,HOLD,337.9,1.0,520.08
2025-05-06,HOLD,337.9,1.0,509.57
2025-05-07,SELL 1.0 @ 515.01,852.92,0.0,515.015
2025-05-08,HOLD,852.92,0.0,520.98
2025-05-09,HOLD,852.92,0.0,514.25
2025-05-12,HOLD,852.92,0.0,520.3
2025-05-13,HOLD,852.92,0.0,515.64
2025-05-14,HOLD,852.92,0.0,511.85
2025-05-15,HOLD,852.92,0.0,502.375
2025-05-16,HOLD,852.92,0.0,509.63
2025-05-19,HOLD,852.92,0.0,513.615
2025-05-20,HOLD,852.92,0.0,511.11
2025-05-21,HOLD,852.92,0.0,507.41
2025-05-22,HOLD,852.92,0.0,505.1
2025-05-23,HOLD,852.92,0.0,501.005
2025-05-27,HOLD,852.92,0.0,506.425
2025-05-28,HOLD,852.92,0.0,508.39
2025-05-29,HOLD,852.92,0.0,504.0
2025-05-30,HOLD,852.92,0.0,505.185
